KIDS,KID14,ER30001,ER30002,ER32000,ER32006,ER34201,ER34202,ER34203,P14REL,P14E5,P14E6,P14E10_09,P14E15,P14E16_3,P14E26_5,P14E33_6,P14E53,C14REL,C14B12,C14B13
1,1.1,200,38,2,2,1624,3,60,2,5,0,0,5,0,0,0,3,,,
1,1.2,200,39,2,2,6846,4,30,2,1,5,0,5,0,0,0,2,3,0,0
1,1.1,200,41,1,2,1624,5,60,2,5,0,0,5,0,0,0,3,,,
1,1.1,200,42,2,2,1624,6,60,2,5,0,0,1,5,0,0,3,,,
1,1.2,200,44,1,2,2064,3,30,2,5,0,0,5,0,0,0,0,3,0,0
1,1.1,200,45,2,2,1624,7,60,2,5,0,0,1,5,0,0,3,,,
1,1.1,200,46,1,2,1624,8,60,2,5,0,0,5,0,0,0,1,,,
1,1.1,200,47,1,2,6846,5,30,2,0,0,0,0,0,0,0,2,,,
1,1.2,203,34,2,2,2751,6,30,2,1,4,0,1,1,5,0,2,3,4,4
1,1.2,214,31,1,2,2904,3,30,2,1,6,0,1,1,0,0,2,3,2.6,4
1,1.1,214,32,2,2,2904,4,30,2,1,5,0,1,1,0,0,2,,,
1,1.2,221,34,1,2,7495,4,30,2,1,3,0,5,0,5,0,1,3,998,98
1,1.1,221,177,2,0,7495,5,96,2,0,0,0,0,0,0,0,2,,,
1,1.2,231,30,2,2,1101,3,30,2,1,2,0,5,0,0,5,2,3,0,0
1,1.2,236,33,1,2,2327,4,30,2,1,1,0,5,0,0,0,1,3,3.8,4
1,1.2,236,34,2,2,2113,3,30,2,1,5,0,1,1,0,0,2,3,3.9,4
1,1.2,236,35,2,2,2327,5,30,2,1,1,0,5,0,0,5,1,3,0,0
1,1.2,236,36,1,2,2113,4,30,2,1,6,0,1,1,0,0,1,3,0,0
1,1.2,236,37,1,2,2113,5,30,2,1,3,0,5,0,0,0,2,3,0,0
1,1.2,236,38,2,2,2113,6,30,2,1,5,0,5,0,5,0,2,3,0,0
1,1.2,236,39,2,2,2113,7,30,2,1,5,0,5,0,5,0,2,3,0,0
1,1.1,236,40,1,2,1967,3,30,2,5,0,0,5,0,5,0,4,,,
1,1.1,236,41,1,2,1967,4,30,2,0,0,0,0,0,0,0,0,,,
1,1.2,242,32,2,2,1926,3,35,2,1,2,0,5,0,5,5,2,3,0,0
1,1.2,242,33,2,2,1926,4,35,2,1,5,0,5,0,0,5,2,3,0,0
1,1.1,244,31,2,2,434,2,30,2,5,0,0,5,0,5,0,1,,,
1,1.2,250,33,1,2,6601,3,30,2,5,0,0,5,0,1,0,1,3,4.5,5
1,1.2,250,34,2,2,7340,3,30,2,5,0,5,5,0,0,0,2,3,0,0
1,1.2,250,35,2,2,6601,4,30,2,5,0,0,5,0,0,0,1,3,0,0
1,1.1,257,41,2,2,457,4,30,2,5,0,0,5,0,0,0,1,,,
1,1.2,263,40,1,2,1219,3,30,2,5,0,0,5,0,0,0,1,3,998,98
1,1.2,263,41,2,2,1219,4,30,2,5,0,0,5,0,0,0,1,3,2,4
1,1.2,263,42,1,2,1219,5,30,2,5,0,0,5,0,5,0,4,3,0,0
1,1.1,263,43,1,2,1181,3,30,2,1,5,0,1,1,5,5,4,,,
1,1.1,263,44,1,2,1181,4,30,2,5,0,0,5,0,5,5,4,,,
1,1.1,263,45,1,2,1181,5,30,2,0,0,0,0,0,0,0,4,,,
1,1.1,263,46,1,2,1181,6,30,2,0,0,0,0,0,0,0,4,,,
1,1.1,263,47,2,2,507,3,30,2,0,0,0,0,0,0,0,0,,,
1,1.2,266,36,2,2,6776,4,30,2,1,1,5,1,5,0,0,2,3,4,4
1,1.1,267,32,1,2,133,3,30,2,5,0,0,5,0,0,0,2,,,
1,1.1,267,33,2,2,270,3,30,2,1,6,0,1,1,0,0,2,,,
1,1.1,267,34,1,2,270,4,30,2,0,0,0,0,0,0,0,2,,,
1,1.1,267,35,2,2,133,4,30,2,0,0,0,0,0,0,0,1,,,
1,1.2,277,37,1,2,8026,3,30,2,5,0,0,5,0,5,5,2,3,3.7,5
1,1.2,277,38,2,2,8026,4,30,2,5,0,0,1,5,1,5,1,3,0,0
1,1.1,277,39,2,2,6644,3,30,2,5,0,0,5,0,0,0,1,,,
1,1.1,280,36,2,2,7727,3,30,2,0,0,0,0,0,0,0,2,,,
1,1.1,280,37,2,2,137,3,30,2,0,0,0,0,0,0,0,0,,,
1,1.1,280,38,1,2,6568,3,30,2,0,0,0,0,0,0,0,0,,,
1,1.1,284,32,1,2,7069,3,30,2,1,2,0,5,0,5,5,1,,,
1,1.2,297,53,2,2,940,4,30,2,1,1,0,5,0,0,0,2,3,4.17,4.35
1,1.2,297,56,2,2,2980,4,30,2,5,0,0,5,0,0,0,4,3,998,98
