KIDS,KID21,ER30001,ER30002,ER32000,ER32006,ER34901,ER34902,ER34903,P21REL,P21E5,P21E6,P21E10_09,P21E15,P21E16_3,P21E26_5,P21E33_6,P21E53A,C21REL,C21B12,C21B13,C21B31,C21B32,GPA_normalized
1,1.2,3247,30,1,2,522,3,30,1,1,6,0,5,0,0,5,1,1.0,3.8,4.5,7.0,7.0,0.8444444444444444
1,1.2,3258,171,1,3,4468,3,30,1,5,0,0,5,0,0,0,1,1.0,3.5,4.0,2.0,2.0,0.875
1,1.2,3263,31,2,2,4536,2,30,1,1,1,0,5,0,5,0,1,1.0,3.6,5.0,5.0,5.0,0.72
1,1.2,3272,33,2,2,1458,3,30,1,5,0,0,5,0,0,5,1,1.0,3.6,4.0,7.0,7.0,0.9
1,1.2,3303,32,1,2,5923,4,30,1,5,0,0,5,0,0,5,1,1.0,3.7,5.0,6.0,6.0,0.74
1,1.2,3316,31,2,2,1126,4,30,1,1,2,0,5,0,0,0,1,1.0,3.9,4.0,6.0,6.0,0.975
1,1.2,3316,32,1,2,339,3,30,1,5,0,0,5,0,5,0,1,1.0,3.8,4.8,6.0,5.0,0.7916666666666666
1,1.2,3320,30,2,2,1047,2,30,1,5,0,5,5,0,0,0,2,1.0,3.9,4.0,7.0,7.0,0.975
1,1.2,3333,31,2,2,1619,4,30,1,1,1,0,5,0,0,0,1,1.0,4.3,5.0,7.0,6.0,0.86
1,1.2,3359,32,2,2,2243,3,30,1,5,0,0,5,0,0,0,3,1.0,3.8,4.0,6.0,6.0,0.95
1,1.2,3373,31,1,2,6332,5,30,1,5,0,0,5,0,0,5,1,1.0,3.5,4.5,6.0,6.0,0.7777777777777778
1,1.2,3375,30,2,2,4913,3,30,1,5,0,0,5,0,0,0,1,1.0,2.0,3.0,6.0,6.0,0.6666666666666666
1,1.2,3380,30,1,2,359,3,35,1,1,1,0,5,0,0,0,1,1.0,3.5,4.3,6.0,3.0,0.813953488372093
1,1.2,3381,35,1,2,4949,4,30,1,1,5,0,5,0,0,5,1,1.0,3.8,5.0,6.0,6.0,0.76
1,1.2,3394,32,1,2,1910,3,30,1,1,1,0,5,0,0,0,3,1.0,3.4,4.0,7.0,6.0,0.85
1,1.2,3402,32,2,2,7891,4,30,1,5,0,0,5,0,0,0,3,1.0,4.4,5.0,6.0,6.0,0.8800000000000001
1,1.2,3402,33,1,2,5163,4,33,1,1,5,0,5,0,0,0,0,1.0,3.75,4.0,3.0,3.0,0.9375
1,1.2,3402,34,1,2,7891,5,30,1,5,0,5,5,0,0,0,3,1.0,2.5,4.0,3.0,3.0,0.625
1,1.2,3407,32,1,2,5509,3,30,1,1,1,0,5,0,0,0,2,1.0,3.2,4.2,6.0,6.0,0.7619047619047619
1,1.2,3439,32,1,2,848,4,30,1,1,3,5,5,0,0,0,2,1.0,3.0,4.0,3.0,3.0,0.75
1,1.2,3480,30,2,2,6174,3,30,1,1,1,0,5,0,5,0,2,1.0,3.5,4.0,6.0,6.0,0.875
1,1.2,4009,3,1,1,9056,3,30,1,1,1,0,5,0,0,5,1,1.0,4.0,5.0,5.0,5.0,0.8
