KIDS,KID14,ER30001,ER30002,ER32000,ER32006,ER34201,ER34202,ER34203,P14REL,P14E5,P14E6,P14E10_09,P14E15,P14E16_3,P14E26_5,P14E33_6,P14E53,C14REL,C14B12,C14B13,GPA_normalized
1,1.2,1697,50,1,2,3974,2,30,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,2.8,4.0,0.7
1,1.2,1722,41,2,2,1514,2,30,2.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,3.0,3.9,4.0,0.975
1,1.2,1722,43,2,2,1888,3,30,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,3.0,3.5,5.0,0.7
1,1.2,1751,30,2,2,2314,3,30,2.0,1.0,6.0,0.0,1.0,1.0,5.0,0.0,1.0,3.0,3.8,4.0,0.95
1,1.2,1762,47,2,2,1018,4,30,2.0,1.0,2.0,0.0,5.0,0.0,5.0,0.0,1.0,3.0,2.8,3.0,0.9333333333333332
1,1.2,1762,49,2,2,1043,3,33,2.0,1.0,2.0,0.0,5.0,0.0,5.0,5.0,1.0,3.0,3.2,4.0,0.8
1,1.2,1762,51,1,2,1070,3,30,2.0,1.0,3.0,0.0,5.0,0.0,5.0,0.0,2.0,3.0,4.0,6.0,0.6666666666666666
1,1.2,1887,40,1,2,3132,3,30,2.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0
1,1.2,1905,34,1,2,520,4,30,2.0,1.0,1.0,0.0,5.0,0.0,5.0,5.0,2.0,3.0,3.5,4.0,0.875
1,1.2,1918,34,1,2,372,3,30,2.0,1.0,3.0,0.0,1.0,1.0,0.0,5.0,1.0,3.0,2.86,4.0,0.715
1,1.2,1936,32,1,2,6528,3,30,2.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,2.9,4.0,0.725
1,1.2,1936,33,1,2,6528,4,30,2.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,0.75
1,1.2,1956,31,1,2,8492,3,35,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,3.86,4.0,0.965
1,1.2,1970,33,1,2,7596,3,33,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,2.0,4.0,0.5
1,1.2,1972,31,2,2,8733,2,30,2.0,5.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,3.0,3.27,4.0,0.8175
1,1.2,1978,32,1,2,6086,4,30,2.0,1.0,3.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,3.75,4.0,0.9375
1,1.2,1994,36,2,2,8838,3,30,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,1.9,3.0,0.6333333333333333
1,1.2,2017,33,2,2,2040,2,30,2.0,1.0,6.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,0.75
1,1.2,2032,42,2,2,1399,2,30,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,2.8,4.0,0.7
1,1.2,2061,33,1,2,3975,2,30,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,2.77,4.0,0.6925
1,1.2,2119,190,2,3,2302,3,30,2.0,5.0,0.0,0.0,1.0,5.0,5.0,0.0,1.0,3.0,3.56,4.0,0.89
1,1.2,2129,38,2,2,7114,3,30,2.0,1.0,2.0,0.0,5.0,0.0,5.0,5.0,1.0,3.0,3.5,4.0,0.875
1,1.2,2164,43,2,2,6447,3,30,2.0,1.0,6.0,5.0,1.0,1.0,5.0,5.0,1.0,3.0,2.7,4.0,0.675
1,1.2,2164,45,2,2,6447,4,30,2.0,1.0,6.0,5.0,1.0,1.0,0.0,5.0,1.0,3.0,3.2,4.0,0.8
1,1.2,2175,34,2,2,668,5,30,2.0,1.0,2.0,5.0,1.0,5.0,5.0,0.0,1.0,3.0,4.5,5.0,0.9
1,1.2,2181,181,1,3,4868,6,33,2.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,0.75
1,1.2,2191,41,2,2,703,2,30,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,3.7,6.0,0.6166666666666667
1,1.2,2198,37,2,2,3357,3,33,2.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,3.7,4.0,0.925
1,1.2,2210,36,2,2,1822,3,30,2.0,1.0,2.0,0.0,5.0,0.0,5.0,0.0,1.0,3.0,3.0,4.0,0.75
1,1.2,2219,177,1,3,1493,4,30,2.0,1.0,1.0,5.0,5.0,0.0,5.0,0.0,1.0,3.0,3.0,4.5,0.6666666666666666
1,1.2,2224,46,1,2,1770,4,30,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,3.43,5.0,0.686
1,1.2,2243,34,1,2,8460,3,30,2.0,1.0,3.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,3.5,4.4,0.7954545454545454
1,1.2,2246,31,2,2,3576,3,30,2.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,3.59,4.0,0.8975
1,1.2,2248,35,2,2,7972,3,33,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,0.75
1,1.2,2248,36,2,2,7972,4,33,2.0,1.0,5.0,0.0,5.0,0.0,0.0,0.0,2.0,3.0,4.0,5.0,0.8
1,1.2,2255,33,2,2,3371,3,30,2.0,1.0,5.0,5.0,1.0,5.0,0.0,5.0,1.0,3.0,3.3,4.0,0.825
1,1.2,2256,32,1,2,5090,3,30,2.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,2.5,4.0,0.625
1,1.2,2282,33,1,2,7803,4,30,2.0,1.0,1.0,0.0,5.0,0.0,5.0,5.0,1.0,3.0,2.8,4.4,0.6363636363636362
1,1.2,2282,34,1,2,6215,2,30,2.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,0.75
1,1.2,2288,35,1,2,8530,3,70,2.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,3.0,3.1,4.0,0.775
1,1.2,2297,35,2,2,6526,4,30,2.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,3.0,3.5,4.0,0.875
1,1.2,2330,33,1,2,4904,2,30,2.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,2.0,3.0,3.1,4.0,0.775
