KIDS,KID19,ER30001,ER30002,ER32000,ER32006,ER34701,ER34702,ER34703,P19REL,P19E5,P19E6,P19E10_09,P19E15,P19E16_3,P19E26_5,P19E33_6,P19E53A,C19REL,C19B12,C19B13,GPA_normalized
1,1.2,1697,55,2,2,7795,4,30,1.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,2.0,3.13,4.0,0.7825
1,1.2,1726,34,2,2,1391,3,30,1.0,1.0,1.0,0.0,1.0,5.0,0.0,5.0,1.0,2.0,4.04,5.0,0.808
1,1.2,1726,35,2,2,1391,4,30,1.0,1.0,5.0,0.0,1.0,1.0,5.0,5.0,1.0,2.0,4.25,5.0,0.85
1,1.2,1739,32,2,2,6014,3,30,1.0,1.0,1.0,5.0,1.0,5.0,1.0,0.0,1.0,2.0,2.5,5.0,0.5
1,1.2,1739,33,1,2,6014,4,30,1.0,1.0,1.0,0.0,5.0,0.0,0.0,5.0,1.0,2.0,3.8,4.0,0.95
1,1.2,1751,31,2,2,165,3,30,1.0,1.0,1.0,0.0,5.0,0.0,5.0,0.0,2.0,2.0,3.5,4.0,0.875
1,1.2,1762,55,1,2,6792,2,30,1.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,1.0,2.0,1.1,4.0,0.275
1,1.2,1763,41,2,2,3691,2,30,1.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,2.0,3.45,4.0,0.8625
1,1.2,1774,33,2,2,4338,3,30,1.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,2.0,4.0,4.0,1.0
1,1.2,1774,34,1,2,3874,4,30,1.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,4.0,2.0,3.6,4.0,0.9
1,1.2,1786,51,2,2,8818,3,30,1.0,1.0,3.0,0.0,5.0,0.0,5.0,0.0,1.0,2.0,3.4,4.0,0.85
1,1.2,1821,32,2,2,497,3,30,1.0,1.0,5.0,0.0,1.0,1.0,5.0,0.0,1.0,2.0,3.0,4.0,0.75
1,1.2,1821,33,2,2,497,4,30,1.0,1.0,2.0,0.0,5.0,0.0,5.0,0.0,1.0,2.0,4.0,4.0,1.0
1,1.2,1823,35,2,2,917,2,30,1.0,1.0,5.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,3.6,4.0,0.9
1,1.2,1839,40,2,2,3982,3,30,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,4.6,4.8,0.9583333333333333
1,1.2,1839,41,1,2,3982,4,30,1.0,1.0,5.0,0.0,1.0,5.0,0.0,0.0,1.0,2.0,4.3,4.6,0.9347826086956522
1,1.2,1839,42,2,2,3982,5,30,1.0,1.0,2.0,0.0,5.0,0.0,5.0,0.0,1.0,2.0,4.0,4.0,1.0
1,1.2,1935,30,1,2,3633,3,30,1.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,2.0,2.4,4.0,0.6
1,1.2,1935,31,1,2,3633,4,30,1.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,2.0,2.5,4.0,0.625
1,1.2,1956,32,2,2,8718,3,30,1.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,2.9,5.0,0.58
1,1.2,1961,32,2,2,3127,3,30,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,3.6,4.0,0.9
1,1.2,1964,38,1,2,3452,4,30,1.0,1.0,3.0,0.0,5.0,0.0,0.0,5.0,1.0,2.0,3.1,5.0,0.62
1,1.2,1994,182,2,3,6838,3,30,1.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,4.0,2.0,2.8,4.0,0.7
1,1.2,1994,183,1,3,6838,4,30,1.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,2.0,2.0,2.9,4.0,0.725
1,1.2,2004,38,2,2,5489,3,30,1.0,1.0,5.0,0.0,5.0,0.0,5.0,0.0,1.0,2.0,3.2,4.0,0.8
1,1.2,2017,34,2,2,3318,3,30,1.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.75,4.0,0.6875
1,1.2,2017,36,2,2,3304,2,30,1.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,2.0,3.5,4.0,0.875
1,1.2,2017,37,1,2,3304,3,30,1.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,2.5,4.0,0.625
1,1.2,2032,46,2,2,5462,4,33,1.0,1.0,5.0,0.0,5.0,0.0,5.0,0.0,1.0,2.0,3.9,4.0,0.975
