KIDS,KID19,ER30001,ER30002,ER32000,ER32006,ER34701,ER34702,ER34703,P19REL,P19E5,P19E6,P19E10_09,P19E15,P19E16_3,P19E26_5,P19E33_6,P19E53A,C19REL,C19B12,C19B13
1,1.1,180,36,1,2,3050,4,30,1,0,0,0,0,0,0,0,2,,,
1,1.1,180,37,1,2,3050,5,30,1,0,0,0,0,0,0,0,3,,,
1,1.1,180,38,1,2,3236,4,30,1,0,0,0,0,0,0,0,0,,,
1,1.1,180,175,1,3,3050,3,35,1,5,0,5,5,0,0,0,4,,,
1,1.1,190,187,1,3,4057,3,60,1,5,0,0,5,0,0,0,3,,,
1,1.1,191,32,2,2,3375,3,30,1,0,0,0,0,0,0,0,5,,,
1,1.1,197,35,1,2,9117,3,30,1,1,1,0,5,0,5,0,0,,,
1,1.1,197,36,1,2,9117,4,30,1,5,0,5,5,0,0,0,0,,,
1,1.1,197,37,2,2,9117,5,30,1,1,2,0,1,5,5,0,0,,,
1,1.1,197,38,1,2,9117,6,30,1,1,2,5,5,0,0,0,0,,,
1,1.1,197,39,1,2,9117,7,30,1,1,2,5,5,0,0,0,0,,,
1,1.1,197,40,2,2,9117,8,30,1,0,0,0,0,0,0,0,0,,,
1,1.1,197,41,2,2,7250,3,30,1,0,0,0,0,0,0,0,0,,,
1,1.1,197,47,1,2,7323,3,30,1,5,0,5,1,1,0,0,2,,,
1,1.1,197,48,2,2,7323,4,30,1,5,0,0,1,5,0,5,2,,,
1,1.1,197,49,2,2,7323,5,30,1,0,0,0,0,0,0,0,0,,,
1,1.1,197,50,1,2,7097,3,30,1,1,6,0,5,0,0,0,0,,,
1,1.1,197,51,1,2,7097,4,30,1,1,6,0,5,0,0,0,0,,,
1,1.1,197,52,2,2,7250,4,30,1,0,0,0,0,0,0,0,0,,,
1,1.1,197,53,1,2,7097,5,30,1,0,0,0,0,0,0,0,0,,,
1,1.1,197,54,1,2,9117,9,30,1,0,0,0,0,0,0,0,0,,,
1,1.1,197,55,1,2,7250,5,30,1,0,0,0,0,0,0,0,0,,,
1,1.1,197,56,2,2,7323,6,30,1,0,0,0,0,0,0,0,0,,,
1,1.1,197,57,1,2,7097,6,30,1,0,0,0,0,0,0,0,0,,,
1,1.2,200,39,2,2,1386,3,30,1,1,1,0,5,0,0,0,4,2,3,4
1,1.1,200,40,1,2,1486,3,33,1,1,1,0,5,0,0,0,1,,,
1,1.1,200,43,2,2,1486,4,33,1,1,5,5,5,0,0,0,2,,,
1,1.2,200,44,1,2,2289,2,30,1,5,0,0,1,1,0,0,0,2,998,98
1,1.2,200,47,1,2,1386,4,30,1,1,1,0,5,0,0,0,2,2,0,0
1,1.1,200,48,2,2,1386,5,30,1,0,0,0,0,0,0,0,0,,,
1,1.2,214,32,2,2,2119,4,30,1,1,1,0,5,0,5,0,1,2,3.89,5
1,1.1,220,31,1,2,2800,3,30,1,5,0,0,5,0,0,0,2,,,
1,1.1,220,32,2,2,2800,4,30,1,0,0,0,0,0,0,0,0,,,
1,1.1,223,32,2,2,744,3,30,1,1,4,0,1,5,0,0,3,,,
1,1.1,223,33,2,2,744,4,30,1,1,5,0,1,5,0,0,2,,,
1,1.1,228,33,2,2,514,3,30,1,0,0,0,0,0,0,0,1,,,
1,1.2,236,35,2,2,519,3,30,1,5,0,0,5,0,0,0,1,2,3.6,4
1,1.2,236,36,1,2,1161,3,30,1,1,2,0,5,0,0,0,1,2,4,4.5
1,1.2,236,37,1,2,1161,4,30,1,1,2,0,5,0,5,0,1,2,3.75,4.2
1,1.2,236,38,2,2,1161,5,30,1,1,2,0,5,0,5,0,1,2,0,0
1,1.2,236,39,2,2,1161,6,30,1,1,5,0,1,1,5,0,1,2,0,0
1,1.2,236,40,1,2,1038,3,30,1,1,5,0,1,1,0,5,4,2,0,0
1,1.1,236,41,1,2,1038,4,30,1,5,0,0,5,0,0,5,5,,,
1,1.1,236,42,1,2,1038,5,30,1,0,0,0,0,0,0,0,0,,,
1,1.2,242,32,2,2,915,2,30,1,5,0,0,5,0,0,0,2,2,3.6,4
1,1.2,242,33,2,2,915,3,30,1,5,0,0,5,0,0,0,5,2,0,0
1,1.1,242,34,2,2,915,4,30,1,5,0,0,5,0,0,0,0,,,
1,1.2,245,36,1,2,9003,3,30,1,1,1,0,5,0,0,0,1,2,2.5,4
1,1.1,245,37,2,2,9003,4,30,1,1,5,0,1,1,5,0,2,,,
1,1.1,246,32,2,2,690,3,30,1,0,0,0,0,0,0,0,4,,,
1,1.1,246,33,1,2,633,3,30,1,0,0,0,0,0,0,0,0,,,
1,1.2,250,35,2,2,1966,4,30,1,5,0,0,5,0,0,0,1,2,4.46,5
1,1.1,254,32,1,2,9495,3,30,1,1,5,0,5,0,0,0,1,,,
1,1.1,257,41,2,2,5491,4,30,1,5,0,0,1,5,0,0,1,,,
1,1.2,263,42,1,2,805,4,30,1,1,1,0,1,1,5,0,1,2,2.8,3.4
1,1.1,263,47,2,2,769,3,30,1,5,0,0,5,0,5,0,5,,,
1,1.2,267,32,1,2,457,3,30,1,1,5,0,5,0,0,0,1,2,0,0
1,1.2,267,33,2,2,886,3,30,1,1,6,0,1,1,5,5,3,2,0,0
1,1.2,267,34,1,2,886,4,30,1,1,5,0,1,1,5,5,2,2,0,0
1,1.2,267,35,2,2,457,4,30,1,1,3,0,5,0,0,0,2,2,0,0
1,1.1,280,38,1,2,8574,2,30,1,5,0,0,5,0,0,0,0,,,
1,1.2,284,32,1,2,3068,3,30,1,1,1,0,5,0,0,5,2,2,0,0
1,1.1,287,41,1,2,8583,3,30,1,0,0,0,0,0,0,0,2,,,
1,1.1,287,42,2,2,8500,3,30,1,0,0,0,0,0,0,0,2,,,
1,1.1,287,43,1,2,8500,5,30,1,0,0,0,0,0,0,0,3,,,
1,1.2,297,64,1,2,8006,2,30,1,1,5,0,5,0,0,0,1,2,2.7,4
1,1.2,297,65,1,2,7679,4,30,1,5,0,0,5,0,0,0,2,2,3.85,4.5
1,1.1,297,71,2,2,7679,5,30,1,5,0,5,5,0,0,0,1,,,
1,1.1,297,72,1,2,8006,3,30,1,1,5,0,5,0,0,1,2,,,
1,1.2,297,195,2,3,7679,3,30,1,5,0,0,5,0,0,0,1,2,3.5,4
1,1.2,301,44,1,2,6826,3,30,1,5,0,5,5,0,5,0,2,2,998,4
1,1.1,301,49,1,2,7715,3,30,1,1,2,0,5,0,0,0,0,,,
1,1.1,301,51,2,2,7715,4,30,1,1,3,0,5,0,0,0,0,,,
